sekse,cgebland_1,cgebland_2,cgebland_3,cgebland_4,cgebland_5,cgebland_6,cgebland_7,lnvgalguz,leeftijd,delcuziv_1,delcuziv_2,delcuziv_3,delcuziv_4,delcuziv_5,delcuziv_6,delcuziv_7,delcuziv_8,dum1120,dum21plus,lft2,rec4
0,0,0,0,0,0,1,0,0.0,24.476386036960985,0,0,0,0,0,0,1,0,0,0,116.0412997430045,0
0,1,0,0,0,0,0,0,0.6931471805599453,19.858524507567115,0,0,0,0,1,0,0,0,0,0,236.85543242303328,0
1,0,0,0,0,0,0,1,0.0,26.154688569472963,0,0,0,1,0,0,0,0,0,0,82.69982117762386,0
1,1,0,0,0,0,0,0,2.302585092994046,52.02938303293026,0,0,0,1,0,0,0,0,0,0,281.59357928474554,1
0,1,0,0,0,0,0,0,0.0,33.04976525464547,0,0,0,0,0,0,0,1,0,0,4.835018363458576,0
0,1,0,0,0,0,0,0,2.0794415416798357,26.302825309909498,0,0,0,0,0,0,1,0,0,0,80.0274711674342,1
0,1,0,0,0,0,0,0,2.3978952727983707,32.32106658934773,0,0,0,1,0,0,0,0,0,0,8.570643759909261,1
0,0,0,0,0,0,1,0,0.0,28.314852840520192,0,0,0,0,0,0,1,0,0,0,48.07730415263982,0
0,0,1,0,0,0,0,0,2.0794415416798357,21.368511325322586,1,0,0,0,0,0,0,0,0,0,192.65777140343585,1
0,1,0,0,0,0,0,0,0.0,21.39630390143737,0,0,0,0,1,0,0,0,0,0,191.8870151670866,0
0,1,0,0,0,0,0,0,1.3862943611198906,25.51129363449692,0,0,1,0,0,0,0,0,0,0,94.81577349903861,1
0,1,0,0,0,0,0,0,0.0,48.062285408269325,0,0,0,1,0,0,0,0,0,0,164.18969385627244,1
0,1,0,0,0,0,0,0,0.0,45.5605749486653,0,0,0,0,1,0,0,0,1,0,106.336151433402,0
0,1,0,0,0,0,0,0,0.6931471805599453,19.476984149618474,0,0,0,0,1,0,0,0,0,0,248.74490030073196,0
0,0,0,0,0,1,0,0,1.9459101490553132,35.214236824093085,0,0,0,0,0,0,0,1,0,0,0.0011830813040849383,1
0,1,0,0,0,0,0,0,2.3978952727983707,35.11916707861181,0,0,0,0,0,0,0,1,0,0,0.01676136603424843,1
0,0,0,0,0,0,1,0,0.0,49.45653661875428,0,0,0,0,0,0,0,1,0,0,201.86453168901045,0
0,1,0,0,0,0,0,0,0.0,23.16495550992471,0,0,0,0,0,0,1,0,0,0,146.01525619917376,0
1,1,0,0,0,0,0,0,0.0,55.906410405100516,0,0,0,0,0,0,1,0,0,0,426.743776695584,0
0,0,0,0,0,0,0,1,0.0,19.935553717646464,0,0,0,0,0,0,0,1,0,0,234.49039015678835,1
0,1,0,0,0,0,0,0,0.0,21.090840526529266,0,0,0,0,0,0,0,1,0,0,200.44308129541136,0
0,1,0,0,0,0,0,0,1.9459101490553132,60.394250513347025,0,0,0,0,0,0,1,0,0,0,632.3020915415511,0
0,1,0,0,0,0,0,0,0.6931471805599453,72.85318490633001,0,0,0,0,0,0,1,0,0,0,1414.1023411451886,0
0,0,0,0,0,0,1,0,0.0,22.168377823408623,0,0,0,0,0,0,0,1,0,0,171.09306954740413,0
0,1,0,0,0,0,0,0,1.791759469228055,39.54444016655259,0,0,0,0,0,0,1,0,0,0,18.453961162141677,0
0,1,0,0,0,0,0,0,0.0,20.606844436839303,0,0,0,0,1,0,0,0,0,0,214.38196568215648,0
0,1,0,0,0,0,0,0,0.0,18.422898857961314,0,0,0,1,0,0,0,0,0,0,283.1053217810908,0
0,1,0,0,0,0,0,0,1.3862943611198906,44.27721262073162,0,0,0,0,0,0,1,0,0,0,81.51525406611007,0
0,1,0,0,0,0,0,0,0.0,65.67830253251198,0,0,0,0,0,0,0,1,0,0,925.9648016704118,0
0,0,0,0,0,0,0,1,2.302585092994046,41.117283380231704,0,0,0,0,0,0,1,0,0,0,34.441059949270034,1
0,1,0,0,0,0,0,0,0.6931471805599453,72.41341546885695,0,0,0,0,0,0,0,1,0,0,1381.2210728271589,0
1,0,0,1,0,0,0,0,0.0,37.23095260729586,0,0,0,0,0,1,0,0,0,0,3.929591925276917,1
0,0,0,0,0,0,1,0,0.0,33.440109514031484,0,0,0,0,0,0,0,1,0,0,3.270756378381418,0
0,0,0,0,1,0,0,0,0.0,33.56247211448272,1,0,0,0,0,0,0,0,0,0,2.843137766472493,0
0,0,0,0,0,0,0,1,0.0,33.31452344284737,0,0,0,1,0,0,0,0,1,0,3.7407789011452888,1
0,1,0,0,0,0,0,0,1.6094379124341003,41.91227926078029,0,0,0,0,0,0,1,0,0,0,44.40418451354903,0
0,0,0,0,0,0,1,0,0.0,20.960985626283367,0,0,0,0,0,0,1,0,0,0,204.13686099027535,0
0,1,0,0,0,0,0,0,0.0,30.127402780946586,0,0,0,0,0,0,1,0,0,0,26.226996631935897,0
0,1,0,0,0,0,0,0,1.0986122886681098,54.582069960960276,0,0,0,0,0,0,0,1,0,0,373.78179349918776,1
0,1,0,0,0,0,0,0,0.0,37.13976256115801,0,0,0,1,0,0,0,0,0,0,3.5763718755003264,0
1,0,0,0,0,0,0,1,0.0,42.21218343600274,0,0,0,0,0,1,0,0,0,0,48.49103783562327,0
0,1,0,0,0,0,0,0,2.0794415416798357,39.6331279945243,0,0,0,0,0,0,0,1,0,0,19.22379834720259,1
0,1,0,0,0,0,0,0,1.3862943611198906,54.91581108829569,0,0,0,0,0,0,1,0,0,0,386.7979028839915,1
0,0,0,0,1,0,0,0,2.302585092994046,24.567626150277587,1,0,0,0,0,0,0,0,0,0,114.0839024755337,1
0,1,0,0,0,0,0,0,2.3978952727983707,25.478774716708497,0,0,0,0,0,0,1,0,0,0,95.45012644090141,1
0,1,0,0,0,0,0,0,1.3862943611198906,39.28714075214845,0,0,0,0,0,0,1,0,0,0,16.309546697307827,0
0,0,1,0,0,0,0,0,1.791759469228055,23.1129363449692,0,0,0,0,0,1,0,0,0,0,147.2751277943349,1
0,0,0,0,0,0,1,0,0.0,29.590691307323752,0,0,0,1,0,0,0,0,0,0,32.01230162949208,1
0,1,0,0,0,0,0,0,2.302585092994046,22.567808546911046,1,0,0,0,0,0,0,0,0,0,160.8033030540255,1
0,0,0,0,0,0,1,0,0.0,23.756331279945243,0,0,0,0,0,0,0,1,0,0,132.07299360823012,0
0,0,0,0,0,0,0,1,1.6094379124341003,45.711156741957566,1,0,0,0,0,0,0,0,0,0,109.46440780013621,1
0,1,0,0,0,0,0,0,0.0,45.58795345653662,1,0,0,0,0,0,0,0,1,0,106.90155219614303,1
1,1,0,0,0,0,0,0,0.0,65.84516940451745,1,0,0,0,0,0,0,0,0,0,936.1480538412292,0
0,1,0,0,0,0,0,0,0.0,18.87040136132025,0,0,0,1,0,0,0,0,0,0,268.24646417590355,0
0,0,1,0,0,0,0,0,0.0,35.422313483915126,0,0,1,0,0,0,0,0,1,0,0.030164989329451997,1
1,0,0,1,0,0,0,0,2.302585092994046,50.83247537835577,0,0,0,0,1,0,0,0,0,0,242.85615034719774,0
